Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_f1347b3b	na	안녕하세요, 페르윈 씨.{w=.7} 이메일 보고 관심이 생겨서 와 봤어요.	game/script.rpy	288	na "[what]"
start_9ab1822e	p	비 디트나 테 케프흐웨스 붐, 투 호르테 지 코레예 이, 라스트?	game/script.rpy	290	p "[what]"
start_2552bb94	na	?	game/script.rpy	293	na "[what]"
start_c8ea8a4a	p	...	game/script.rpy	295	p "[what]"
start_096d0457	p	미안, 번역기가 작동 안하고 있었어.	game/script.rpy	297	p "[what]"
start_d02148e2	p	어쨌든. 꽤 빨리 왔네.{w=.7} 머나먼 한국 땅에서 여기까지 올려면 꽤 힘들었을 텐데.	game/script.rpy	299	p "[what]"
start_bb37dd10	p	먼저 내 시뮬레이션부터 소개해줄게.	game/script.rpy	300	p "[what]"
start_40638004	p	혹시 로그라이크라고 들어봤어?	game/script.rpy	301	p "[what]"
start_3b6ced6f	na	로그라이크라...	game/script.rpy	305	na "[what]" nointeract
start_59843ab0	p	그럼 자세한 설명은 필요 없겠네.	game/script.rpy	308	p "[what]"
start_f9edc098	p	아, 설명하기 귀찮은데.	game/script.rpy	311	p "[what]"
start_37026914	p	그래도 말 안해주면 엄청 헷갈릴 테니까 잘 들어.	game/script.rpy	312	p "[what]"
start_55bf56a6	p	로그라이크는 간단히 말해서, 던전 탐험을 하면서 아이템을 얻고, 적과 싸우고, 보스를 처치하는 게임이야.	game/script.rpy	313	p "[what]"
start_1cd08476	p	대부분의 로그라이크는 던전이 랜덤으로 생성되고, 적도 랜덤으로 나오고, 아이템도 랜덤으로 나와.	game/script.rpy	314	p "[what]"
start_f11868aa	p	이런 요소가 로그라이크의 매력이기도 하지.	game/script.rpy	315	p "[what]"
start_12843d26	p	뭐 딱히 더 자세하게 설명 안해도 될테니까 이정도에서 넘어갈게.	game/script.rpy	316	p "[what]"
start_55c0485c	p	어쨌든 이걸 물어본 이유가 내가 만든 시뮬레이션이 로그라이크의 요소를 채용해서 그렇거든.	game/script.rpy	319	p "[what]"
start_92e0df85	p	내 시뮬레이션은 간단해.{w=.7} 다양한 방을 지나면서 각종 버프를 얻어 보스몹을 물리치는 게 목표야.	game/script.rpy	320	p "[what]"
start_41bd6292	p	아마 호요버스에서 만든 붕괴: 스타레일의 시뮬레이션 우주와 비슷할거야.{w=.7} 사실 거기서 영감을 얻어서 만들었거든.	game/script.rpy	321	p "[what]"
start_6c9ae968	p	크흠, 아무튼!{w=.7} 시작하게 되면 넌 3개의 구역 중 하나로 들어갈 수 있어.	game/script.rpy	322	p "[what]"
start_ac8b73ce	p	내 시뮬레이션에는 여러 가지의 구역이 있는데, 낮은 난이도의 전투를 할 수 있는 전투 구역과 다양한 사건이 발생하는 사건 구역이 있어.	game/script.rpy	323	p "[what]"
start_e9bdeedb	na	구역이 그거 두 개밖에 없나요?	game/script.rpy	326	na "[what]"
start_09527ce1	p	그건 아니야.	game/script.rpy	329	p "[what]"
start_682abedb	p	상점 구역이나 정예 구역, 보상 구역도 있어.	game/script.rpy	330	p "[what]"
start_ceefd834	p	시뮬레이션 들어가면 설명 다 나오니까, 내가 설명 안해줬다고 걱정하지 말고.	game/script.rpy	331	p "[what]"
start_62cec211	na	알겠어요.	game/script.rpy	334	na "[what]"
start_d0b1611b	p	다음으로 전투에 대해서 설명해줄게.	game/script.rpy	337	p "[what]"
start_f24d27a1	p	대미지는 간단하게 공격력에서 방어력을 뺀 만큼 들어가.{w=.7}..게 할 예정이었는데 아무래도 대미지가 아예 안들어가는게 좀 거시기해서 말이지.	game/script.rpy	338	p "[what]"
start_54851d47	p	현재 쓰는 식은 이거야.{p=.7}대미지 = 공격력*(1/(1+방어력))	game/script.rpy	339	p "[what]"
start_3fde04c2	p	뭐, 어차피 공식이 중요한 게 아니라 이정도에서 넘어갈게.	game/script.rpy	340	p "[what]"
start_21fbc979	p	이제 에테르에 대해서 설명해줄게.	game/script.rpy	341	p "[what]"
start_6a93ca10	p	에테르는 내 시뮬레이션에서 사용하는 재화야.	game/script.rpy	342	p "[what]"
start_8eede72e	p	거래 구역에서 상품을 구매하거나, 「어떤 기물」 에서 중요하게 쓰이기도 하지.	game/script.rpy	343	p "[what]"
start_dfe3ed23	na	그 기물이 뭔가요?	game/script.rpy	346	na "[what]"
start_d0b238c3	p	그건 비밀!	game/script.rpy	349	p "[what]"
start_e080166f	p	음, 이정도 설명했으면 쉽게 깰 수 있을거야.	game/script.rpy	350	p "[what]"
start_83590910	p	힘내!	game/script.rpy	351	p "[what]"
start_0c7f2035	na	...	game/script.rpy	356	na "[what]"
start_ada52e51	na	뭐, 어떻게든 되겠지.	game/script.rpy	358	na "[what]"
Tutorial_a985b273	a	다스니 박사님의 시뮬레이션에 오신 걸 환영합니다.	game/script.rpy	362	a "[what]"
Tutorial_0c7515c9	a	저는 박사님의 AI 조수, Mîxayîl(미하일)입니다.	game/script.rpy	363	a "[what]"
